period,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,period_date,year,source,symbol,name,sector
1993-12-31,42904799.99999999,5182400.0,,39.06,12.08,53.54,1.54,1993-12-31,1993.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1994-12-31,113999999.99999999,15446600.0,,23.72,13.58,60.15,1.04,1994-12-31,1994.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1995-12-31,136000000.0,27002900.0,,42.23,20.84,66.65,1.18,1995-12-31,1995.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1996-06-30,90176900.0,21316100.0,,38.76,699.89,63.58,0.94,1996-06-30,1996.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1996-12-31,141000000.0,56115200.00000001,,38.75,40.4,52.0,1.51,1996-12-31,1996.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1997-06-30,48687400.0,35413200.0,,,72.81,53.06,1.49,1997-06-30,1997.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1997-12-31,130000000.0,47413400.0,11.82,51.07,36.4,48.57,1.69,1997-12-31,1997.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1998-06-30,105000000.0,11456000.0,,66.15,14.45,50.03,1.79,1998-06-30,1998.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1998-12-31,259000000.0,71382100.0,11.4,68.32,26.26,41.01,2.11,1998-12-31,1998.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1999-06-30,140000000.0,2122200.0,,68.4,3.58,37.26,2.16,1999-06-30,1999.0,stock_financial_abstract_ths,000661,长春高新,生物制品
1999-12-31,305000000.0,13727800.0,,70.39,8.04,41.43,1.62,1999-12-31,1999.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2000-06-30,138000000.0,965400.0000000001,,76.83,4.04,40.88,1.63,2000-06-30,2000.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2000-12-31,314000000.0,16836100.0,4.4,72.05,12.18,48.91,1.53,2000-12-31,2000.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2001-06-30,159000000.0,2036000.0,0.45,74.26,3.12,50.32,1.5,2001-06-30,2001.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2001-09-30,242000000.0,2756500.0,,73.47,4.06,,,2001-09-30,2001.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2001-12-31,407000000.0,4353000.0,0.96,64.78,3.38,54.14,1.37,2001-12-31,2001.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2002-03-31,76080000.0,-1420000.0,,,-1.87,52.49,1.39,2002-03-31,2002.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2002-06-30,212000000.0,3076400.0,0.68,71.71,6.87,50.57,1.42,2002-06-30,2002.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2002-09-30,332000000.0,3717400.0,,72.67,6.39,50.58,1.54,2002-09-30,2002.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2002-12-31,446000000.0,2136500.0,1.62,68.22,3.14,53.07,1.04,2002-12-31,2002.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2003-03-31,96436700.0,-1348899.9999999998,,60.44,2.15,,,2003-03-31,2003.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2003-06-30,189000000.0,607000.0,0.13,70.91,2.79,51.08,1.14,2003-06-30,2003.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2003-09-30,281000000.0,-20005000.0,,70.95,-7.06,64.4,1.45,2003-09-30,2003.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2003-12-31,424000000.0,-108000000.0,-26.97,70.85,-26.61,71.21,1.2,2003-12-31,2003.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2004-03-31,101000000.0,-3907500.0,,71.97,-2.62,69.71,1.21,2004-03-31,2004.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2004-06-30,199000000.0,11302500.0,3.17,72.38,8.03,67.78,1.38,2004-06-30,2004.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2004-09-30,279000000.0,8973100.0,,73.32,4.92,69.66,1.32,2004-09-30,2004.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2004-12-31,366000000.0,7165900.0,2.09,72.43,3.7,70.12,1.21,2004-12-31,2004.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2005-03-31,76054000.0,321200.0,,73.33,3.92,71.12,1.25,2005-03-31,2005.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2005-06-30,169000000.0,-20333900.0,-6.3,73.55,-9.1,71.15,1.21,2005-06-30,2005.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2005-09-30,259000000.0,-22148500.0,,74.51,-5.22,74.81,1.23,2005-09-30,2005.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2005-12-31,487000000.0,-58869300.0,-19.04,51.41,-9.74,70.49,1.34,2005-12-31,2005.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2006-03-31,86292400.0,-2536700.0,,74.71,2.58,72.26,1.27,2006-03-31,2006.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2006-06-30,180000000.0,-28890000.0,-9.21,75.9,-8.34,72.74,1.27,2006-06-30,2006.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2006-09-30,279000000.0,-30314200.0,,76.48,-5.25,72.33,1.26,2006-09-30,2006.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2006-12-31,582000000.0,4522400.0,1.75,54.54,3.57,66.52,1.43,2006-12-31,2006.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2007-03-31,141000000.0,-460100.0,,62.48,1.84,66.06,1.48,2007-03-31,2007.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2007-06-30,300000000.0,1790300.0,0.56,63.03,4.0,67.74,1.44,2007-06-30,2007.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2007-09-30,446000000.0,3026700.0,,62.05,3.88,71.52,1.27,2007-09-30,2007.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2007-12-31,662000000.0,7518099.999999999,1.98,62.63,2.41,67.16,1.0,2007-12-31,2007.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2008-03-31,121000000.0,-5845200.0,,70.51,-4.2,67.57,1.27,2008-03-31,2008.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2008-06-30,350000000.0,2086500.0,0.63,63.02,0.34,64.59,1.34,2008-06-30,2008.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2008-09-30,512000000.0,3687300.0,0.0,67.92,2.06,65.09,1.31,2008-09-30,2008.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2008-12-31,803999999.9999999,20094900.0,5.54,66.57,6.36,63.07,1.33,2008-12-31,2008.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2009-03-31,156000000.0,5467600.0,0.0,83.53,8.92,61.79,1.33,2009-03-31,2009.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2009-06-30,476000000.0,35432300.0,8.9,71.35,11.92,59.67,1.28,2009-06-30,2009.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2009-09-30,771000000.0,48426500.0,0.0,72.39,10.64,60.45,1.24,2009-09-30,2009.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2009-12-31,1024000000.0,73154700.0,18.33,75.15,12.81,55.45,1.21,2009-12-31,2009.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2010-03-31,247000000.00000003,16633800.000000002,3.68,73.06,12.34,55.79,1.26,2010-03-31,2010.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2010-06-30,551000000.0,59680300.0,12.05,74.22,16.68,49.27,1.39,2010-06-30,2010.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2010-09-30,859000000.0,67942700.0,13.49,74.06,12.52,51.88,1.3,2010-09-30,2010.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2010-12-31,1166000000.0,86461400.0,18.06,76.1,10.86,54.36,1.3,2010-12-31,2010.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2011-03-31,256999999.99999997,16857700.0,3.13,84.46,13.39,58.84,1.21,2011-03-31,2011.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2011-06-30,577000000.0,42274100.0,7.49,83.29,12.07,54.13,1.22,2011-06-30,2011.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2011-09-30,943000000.0,68121000.0,11.54,84.33,11.52,56.46,1.18,2011-09-30,2011.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2011-12-31,1295000000.0,110000000.00000001,18.99,82.74,12.73,54.04,1.18,2011-12-31,2011.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2012-03-31,365000000.0,24302700.0,3.72,86.23,11.53,53.9,1.21,2012-03-31,2012.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2012-06-30,825000000.0,93779900.0,12.97,80.73,16.87,49.0,1.32,2012-06-30,2012.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2012-09-30,1250000000.0,162000000.0,20.45,82.88,19.73,48.3,1.36,2012-09-30,2012.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2012-12-31,1761000000.0,300000000.0,38.47,81.95,22.8,43.66,1.42,2012-12-31,2012.0,stock_financial_abstract_ths,000661,长春高新,生物制品
2013-03-31,488999999.99999994,69847300.0,6.99,80.54,20.04,43.39,1.45,2013-03-31,2013.0,stock_financial_abstract_ths,000661,长春高新,生物制品
