date,csi_pharma_open,csi_pharma_close,csi_pharma_high,csi_pharma_low,csi_pharma_volume,csi_pharma_amount,csi_pharma_amplitude,csi_pharma_pct_change,csi_pharma_change,csi_pharma_turnover,csi_pharma_source
2019-01-02,7685.73,7414.24,7687.72,7407.03,7560342,13644630784.0,3.65,-3.67,-282.82,0.76,index_zh_a_hist
2019-01-03,7373.37,7251.74,7399.6,7230.12,7013583,11892437248.0,2.29,-2.19,-162.5,0.71,index_zh_a_hist
2019-01-04,7166.84,7447.07,7447.07,7165.34,9896275,14501168384.0,3.88,2.69,195.33,1.0,index_zh_a_hist
2019-01-07,7471.38,7472.69,7483.58,7416.18,8445915,12538827008.0,0.91,0.34,25.62,0.85,index_zh_a_hist
2019-01-08,7460.24,7484.63,7510.86,7443.16,6551609,9355270400.0,0.91,0.16,11.94,0.66,index_zh_a_hist
2019-01-09,7502.32,7557.31,7663.46,7481.73,9098388,13183715072.0,2.43,0.97,72.68,0.92,index_zh_a_hist
2019-01-10,7541.3,7507.16,7580.39,7468.97,7982376,11189372672.0,1.47,-0.66,-50.15,0.8,index_zh_a_hist
2019-01-11,7503.06,7490.63,7532.25,7426.67,7191620,9347601664.0,1.41,-0.22,-16.53,0.72,index_zh_a_hist
2019-01-14,7492.88,7357.8,7498.19,7344.94,7489129,10157010688.0,2.05,-1.77,-132.83,0.75,index_zh_a_hist
2019-01-15,7369.47,7548.98,7550.87,7354.08,8115516,12239220992.0,2.67,2.6,191.18,0.82,index_zh_a_hist
2019-01-16,7546.7,7641.88,7660.56,7524.13,7378070,12049397760.0,1.81,1.23,92.9,0.74,index_zh_a_hist
2019-01-17,7636.16,7603.87,7685.13,7598.45,7088944,10927179776.0,1.13,-0.5,-38.01,0.71,index_zh_a_hist
2019-01-18,7612.45,7792.25,7802.85,7612.45,8771464,14121893120.0,2.5,2.48,188.38,0.88,index_zh_a_hist
2019-01-21,7801.58,7825.16,7908.57,7797.55,8070654,13590250240.0,1.42,0.42,32.91,0.81,index_zh_a_hist
2019-01-22,7818.92,7668.02,7818.92,7641.6,7549059,10892652800.0,2.27,-2.01,-157.14,0.76,index_zh_a_hist
2019-01-23,7641.44,7644.53,7683.03,7614.22,6340511,8262699264.0,0.9,-0.31,-23.49,0.64,index_zh_a_hist
2019-01-24,7652.51,7680.34,7691.6,7567.94,6362545,9136865280.0,1.62,0.47,35.81,0.64,index_zh_a_hist
2019-01-25,7681.54,7660.99,7728.35,7640.79,7940853,10415689472.0,1.14,-0.25,-19.35,0.8,index_zh_a_hist
2019-01-28,7683.35,7556.05,7690.06,7550.17,8549420,12749905664.0,1.83,-1.37,-104.94,0.86,index_zh_a_hist
2019-01-29,7543.14,7545.17,7593.64,7481.49,7356794,10501083136.0,1.48,-0.14,-10.88,0.74,index_zh_a_hist
2019-01-30,7511.36,7486.16,7573.57,7482.07,6422349,9048710656.0,1.21,-0.78,-59.01,0.65,index_zh_a_hist
2019-01-31,7497.66,7495.01,7544.77,7448.47,7410445,10856477952.0,1.29,0.12,8.85,0.75,index_zh_a_hist
2019-02-01,7533.86,7753.65,7762.41,7530.22,8644888,13309290496.0,3.1,3.45,258.64,0.87,index_zh_a_hist
2019-02-11,7736.65,7943.52,7950.09,7736.3,8986705,14330176256.0,2.76,2.45,189.87,0.9,index_zh_a_hist
2019-02-12,7964.13,8149.75,8185.02,7962.13,12266647,19169925632.0,2.81,2.6,206.23,1.23,index_zh_a_hist
2019-02-13,8177.38,8255.5,8290.6,8123.15,12319266,18641332736.0,2.05,1.3,105.75,1.24,index_zh_a_hist
2019-02-14,8251.79,8307.29,8345.17,8211.19,10532132,15183608064.0,1.62,0.63,51.79,1.06,index_zh_a_hist
2019-02-15,8296.92,8219.91,8328.39,8199.15,11811806,16303643648.0,1.56,-1.05,-87.38,1.19,index_zh_a_hist
2019-02-18,8279.15,8536.49,8536.49,8279.15,13976032,21156515840.0,3.13,3.85,316.58,1.41,index_zh_a_hist
2019-02-19,8554.74,8451.0,8585.72,8378.69,15355333,23327540992.0,2.43,-1.0,-85.49,1.55,index_zh_a_hist
2019-02-20,8426.06,8368.06,8435.33,8279.08,12416436,18930701568.0,1.85,-0.98,-82.94,1.25,index_zh_a_hist
2019-02-21,8371.33,8329.98,8457.56,8304.97,13805481,19645440256.0,1.82,-0.46,-38.08,1.39,index_zh_a_hist
2019-02-22,8323.48,8447.27,8447.27,8257.2,16067369,21438429440.0,2.28,1.41,117.29,1.62,index_zh_a_hist
2019-02-25,8479.05,8793.2,8794.88,8479.05,24548876,37492216320.0,3.74,4.1,345.93,2.47,index_zh_a_hist
2019-02-26,8820.67,8888.32,9177.31,8762.12,25992996,42761084672.0,4.72,1.08,95.12,2.62,index_zh_a_hist
2019-02-27,8863.86,8792.83,8931.8,8719.95,16847270,27047104256.0,2.38,-1.07,-95.49,1.7,index_zh_a_hist
2019-02-28,8806.2,9002.86,9017.49,8806.2,19628278,28967861760.0,2.4,2.39,210.03,1.98,index_zh_a_hist
2019-03-01,9107.72,9050.33,9126.68,8943.97,17795488,26418579200.0,2.03,0.53,47.47,1.79,index_zh_a_hist
2019-03-04,9111.05,9182.32,9324.21,9104.03,22548013,37892871168.0,2.43,1.46,131.99,2.27,index_zh_a_hist
2019-03-05,9143.14,9288.79,9288.79,9107.13,18881379,28847492864.0,1.98,1.16,106.47,1.9,index_zh_a_hist
2019-03-06,9310.27,9354.82,9372.54,9218.2,22684651,33955968768.0,1.66,0.71,66.03,2.28,index_zh_a_hist
2019-03-07,9367.12,9319.98,9379.79,9211.61,23324026,36428800000.0,1.8,-0.37,-34.84,2.35,index_zh_a_hist
2019-03-08,9190.98,9113.8,9411.46,9108.76,25248812,36450373888.0,3.25,-2.21,-206.18,2.54,index_zh_a_hist
2019-03-11,9206.41,9436.57,9437.02,9176.23,21826849,36385931264.0,2.86,3.54,322.77,2.2,index_zh_a_hist
2019-03-12,9494.92,9472.15,9570.75,9360.56,23727950,38208579840.0,2.23,0.38,35.58,2.39,index_zh_a_hist
2019-03-13,9463.44,9395.64,9524.34,9342.08,21116205,33893533952.0,1.92,-0.81,-76.51,2.13,index_zh_a_hist
2019-03-14,9354.19,9250.93,9451.04,9176.3,18368828,28450163712.0,2.92,-1.54,-144.71,1.85,index_zh_a_hist
2019-03-15,9277.14,9371.0,9470.06,9257.1,15309227,26274703360.0,2.3,1.3,120.07,1.54,index_zh_a_hist
2019-03-18,9418.93,9766.05,9766.05,9375.48,19926417,37272278016.0,4.17,4.22,395.05,2.01,index_zh_a_hist
2019-03-19,9773.17,9674.52,9796.66,9613.41,18020387,31014231040.0,1.88,-0.94,-91.53,1.81,index_zh_a_hist
2019-03-20,9650.27,9676.97,9722.61,9516.34,18705333,30071889664.0,2.13,0.03,2.45,1.88,index_zh_a_hist
2019-03-21,9698.5,9725.85,9783.12,9645.34,21964956,32587102976.0,1.42,0.51,48.88,2.21,index_zh_a_hist
2019-03-22,9720.13,9819.95,9821.93,9618.37,19270757,30237499648.0,2.09,0.97,94.1,1.94,index_zh_a_hist
2019-03-25,9656.68,9628.09,9847.18,9624.01,21227439,33600370432.0,2.27,-1.95,-191.86,2.14,index_zh_a_hist
2019-03-26,9675.45,9428.71,9718.47,9395.6,19629586,29428680960.0,3.35,-2.07,-199.38,1.98,index_zh_a_hist
2019-03-27,9516.38,9729.7,9729.7,9503.49,20870225,33314360576.0,2.4,3.19,300.99,2.1,index_zh_a_hist
2019-03-28,9719.57,9665.75,9794.46,9656.27,23294267,33277335552.0,1.42,-0.66,-63.95,2.35,index_zh_a_hist
2019-03-29,9659.29,9931.48,9954.6,9607.42,22628312,36223061504.0,3.59,2.75,265.73,2.28,index_zh_a_hist
2019-04-01,9990.63,10174.35,10184.08,9989.26,25439872,42285281536.0,1.96,2.45,242.87,2.56,index_zh_a_hist
2019-04-02,10179.76,10110.44,10180.1,10070.66,24438158,39338828032.0,1.08,-0.63,-63.91,2.46,index_zh_a_hist
2019-04-03,10061.49,10176.09,10187.27,10027.7,21320733,35242198784.0,1.58,0.65,65.65,2.15,index_zh_a_hist
2019-04-04,10197.49,10192.85,10224.5,10107.81,22539866,37845769728.0,1.15,0.16,16.76,2.27,index_zh_a_hist
2019-04-08,10231.86,10129.4,10265.25,10015.68,26468248,43274146304.0,2.45,-0.62,-63.45,2.66,index_zh_a_hist
2019-04-09,10117.94,10279.37,10298.68,10040.17,19962868,36108106752.0,2.55,1.48,149.97,2.01,index_zh_a_hist
2019-04-10,10241.79,10445.57,10528.18,10207.78,26351491,45597521920.0,3.12,1.62,166.2,2.65,index_zh_a_hist
2019-04-11,10464.35,10126.45,10524.5,10120.38,24270725,39256075264.0,3.87,-3.06,-319.12,2.44,index_zh_a_hist
2019-04-12,10110.95,10015.66,10144.95,9957.98,16735165,25456108544.0,1.85,-1.09,-110.79,1.68,index_zh_a_hist
2019-04-15,10132.48,9892.93,10207.12,9888.3,13938435,24746003968.0,3.18,-1.23,-122.73,1.4,index_zh_a_hist
2019-04-16,9879.64,10083.38,10083.38,9830.82,14218085,24449820928.0,2.55,1.93,190.45,1.43,index_zh_a_hist
2019-04-17,10090.46,10086.75,10124.09,10011.16,15364240,24674167808.0,1.12,0.03,3.37,1.55,index_zh_a_hist
2019-04-18,10088.44,9999.61,10088.44,9990.94,14061706,21858299392.0,0.97,-0.86,-87.14,1.42,index_zh_a_hist
2019-04-19,9999.52,10036.12,10103.34,9936.88,10987924,18883124736.0,1.66,0.37,36.51,1.11,index_zh_a_hist
2019-04-22,10036.51,9883.94,10043.97,9859.15,13256376,23278004736.0,1.84,-1.52,-152.18,1.33,index_zh_a_hist
2019-04-23,9880.93,9855.35,9946.14,9844.75,13926875,22906001664.0,1.03,-0.29,-28.59,1.4,index_zh_a_hist
2019-04-24,9872.05,9907.3,9912.42,9749.76,13607964,21541952512.0,1.65,0.53,51.95,1.37,index_zh_a_hist
