symbol,name,period,year,report_type,disclosure_date,disclosure_source
300760,迈瑞医疗,2014-12-31,2014,2014年报,2015-04-30,estimated_by_report_type
300760,迈瑞医疗,2015-12-31,2015,2015年报,2016-04-30,estimated_by_report_type
300760,迈瑞医疗,2016-12-31,2016,2016年报,2017-04-30,estimated_by_report_type
300760,迈瑞医疗,2017-06-30,2017,2017半年报,2017-08-31,estimated_by_report_type
300760,迈瑞医疗,2017-09-30,2017,2017三季,2017-10-31,estimated_by_report_type
300760,迈瑞医疗,2017-12-31,2017,2017年报,2018-04-30,estimated_by_report_type
300760,迈瑞医疗,2018-03-31,2018,2018一季,2018-04-30,estimated_by_report_type
300760,迈瑞医疗,2018-06-30,2018,2018半年报,2018-08-31,estimated_by_report_type
300760,迈瑞医疗,2018-09-30,2018,2018三季,2018-10-31,estimated_by_report_type
300760,迈瑞医疗,2018-12-31,2018,2018年报,2019-04-30,estimated_by_report_type
300760,迈瑞医疗,2019-03-31,2019,2019一季,2019-04-30,estimated_by_report_type
300760,迈瑞医疗,2019-06-30,2019,2019半年报,2019-08-31,estimated_by_report_type
300760,迈瑞医疗,2019-09-30,2019,2019三季,2019-10-31,estimated_by_report_type
300760,迈瑞医疗,2019-12-31,2019,2019年报,2020-04-30,estimated_by_report_type
300760,迈瑞医疗,2020-03-31,2020,2020一季,2020-04-30,estimated_by_report_type
300760,迈瑞医疗,2020-06-30,2020,2020半年报,2020-08-31,estimated_by_report_type
300760,迈瑞医疗,2020-09-30,2020,2020三季,2020-10-31,estimated_by_report_type
300760,迈瑞医疗,2020-12-31,2020,2020年报,2021-04-30,estimated_by_report_type
300760,迈瑞医疗,2021-03-31,2021,2021一季,2021-04-30,estimated_by_report_type
300760,迈瑞医疗,2021-06-30,2021,2021半年报,2021-08-31,estimated_by_report_type
300760,迈瑞医疗,2021-09-30,2021,2021三季,2021-10-31,estimated_by_report_type
300760,迈瑞医疗,2021-12-31,2021,2021年报,2022-04-30,estimated_by_report_type
300760,迈瑞医疗,2022-03-31,2022,2022一季,2022-04-30,estimated_by_report_type
300760,迈瑞医疗,2022-06-30,2022,2022半年报,2022-08-31,estimated_by_report_type
300760,迈瑞医疗,2022-09-30,2022,2022三季,2022-10-31,estimated_by_report_type
300760,迈瑞医疗,2022-12-31,2022,2022年报,2023-04-30,estimated_by_report_type
300760,迈瑞医疗,2023-03-31,2023,2023一季,2023-04-30,estimated_by_report_type
300760,迈瑞医疗,2023-06-30,2023,2023半年报,2023-08-31,estimated_by_report_type
300760,迈瑞医疗,2023-09-30,2023,2023三季,2023-10-31,estimated_by_report_type
300760,迈瑞医疗,2023-12-31,2023,2023年报,2024-04-30,estimated_by_report_type
300760,迈瑞医疗,2024-03-31,2024,2024一季,2024-04-30,estimated_by_report_type
300760,迈瑞医疗,2024-06-30,2024,2024半年报,2024-08-31,estimated_by_report_type
300760,迈瑞医疗,2024-09-30,2024,2024三季,2024-10-31,estimated_by_report_type
300760,迈瑞医疗,2024-12-31,2024,2024年报,2025-04-30,estimated_by_report_type
300760,迈瑞医疗,2025-03-31,2025,2025一季,2025-04-30,estimated_by_report_type
300760,迈瑞医疗,2025-06-30,2025,2025半年报,2025-08-31,estimated_by_report_type
300760,迈瑞医疗,2025-09-30,2025,2025三季,2025-10-31,estimated_by_report_type
300760,迈瑞医疗,2025-12-31,2025,2025年报,2026-04-30,estimated_by_report_type
300760,迈瑞医疗,2026-03-31,2026,2026一季,2026-04-30,estimated_by_report_type
