period,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,period_date,year,source,symbol,name,sector
1997-12-31,304000000.0,41070700.0,,40.58,13.55,66.93,0.86,1997-12-31,1997.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
1998-12-31,364000000.0,43230000.0,,43.48,12.0,61.28,1.31,1998-12-31,1998.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
1999-12-31,413999999.99999994,51332500.0,,47.76,12.48,64.95,1.25,1999-12-31,1999.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2000-06-30,231000000.0,25556900.0,,51.69,11.14,57.78,1.44,2000-06-30,2000.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2000-12-31,484999999.99999994,65271400.0,21.07,53.23,13.52,31.81,4.14,2000-12-31,2000.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2001-06-30,300000000.0,42844700.0,6.19,56.69,14.41,31.52,3.75,2001-06-30,2001.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2001-12-31,634000000.0,81155100.0,11.45,59.73,12.83,32.26,2.84,2001-12-31,2001.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2002-03-31,148000000.0,18223300.0,,57.83,12.34,33.8,2.53,2002-03-31,2002.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2002-06-30,358000000.0,47062100.0,6.14,56.15,13.22,31.01,2.61,2002-06-30,2002.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2002-09-30,547000000.0,61937000.0,,58.99,11.44,29.53,2.61,2002-09-30,2002.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2002-12-31,756000000.0,78954000.0,10.09,63.15,10.49,32.76,2.06,2002-12-31,2002.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2003-03-31,223000000.0,22556500.0,,66.99,10.16,35.47,2.06,2003-03-31,2003.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
2003-06-30,496000000.0,35501800.0,4.38,63.0,6.43,39.96,1.68,2003-06-30,2003.0,stock_financial_abstract_ths,600276,恒瑞医药,创新药
