date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,adjust,source,symbol,name,sector
2019-01-02,29.47,29.28,29.82,29.03,278848,1483924992.0,2.71,0.45,0.13,0.76,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-03,28.85,28.18,29.11,27.63,325561,1658914640.0,5.05,-3.76,-1.1,0.89,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-04,27.74,30.08,30.15,27.43,354969,1864852752.0,9.65,6.74,1.9,0.97,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-07,29.88,29.63,29.93,29.24,240338,1285195632.0,2.29,-1.5,-0.45,0.66,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-08,29.5,29.87,30.09,29.5,128292,692280656.0,1.99,0.81,0.24,0.35,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-09,30.17,30.76,31.16,29.93,197011,1093435792.0,4.12,2.98,0.89,0.54,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-10,30.51,31.19,31.75,30.29,163686,918176992.0,4.75,1.4,0.43,0.45,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-11,31.15,31.01,31.33,30.47,131165,729523520.0,2.76,-0.58,-0.18,0.36,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-14,31.01,30.07,31.01,29.94,111806,610742640.0,3.45,-3.03,-0.94,0.31,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-15,30.17,31.29,31.32,30.07,161210,898836688.0,4.16,4.06,1.22,0.44,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-16,31.28,31.88,32.19,30.74,177374,1014739760.0,4.63,1.89,0.59,0.48,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-17,31.82,31.82,32.45,31.68,124214,719327696.0,2.42,-0.19,-0.06,0.34,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-18,32.13,32.87,33.22,31.91,178400,1054628304.0,4.12,3.3,1.05,0.49,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-21,32.75,32.81,33.62,32.68,157930,940625984.0,2.86,-0.18,-0.06,0.43,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-22,32.94,32.01,32.94,31.64,151660,874479840.0,3.96,-2.44,-0.8,0.41,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-23,31.84,32.2,32.41,31.75,90135,521428512.0,2.06,0.59,0.19,0.25,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-24,32.13,32.99,33.16,31.84,121942,716635232.0,4.1,2.45,0.79,0.33,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2019-01-25,32.97,32.76,33.22,32.66,111232,659259616.0,1.7,-0.7,-0.23,0.3,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
