model,task,window,horizon,metric,value
naive_momentum,classification,20,5,Accuracy,0.48638132295719844
naive_momentum,classification,20,5,Precision,0.3333333333333333
naive_momentum,classification,20,5,Recall,0.3333333333333333
naive_momentum,classification,20,5,F1-score,0.3333333333333333
naive_momentum,classification,20,5,DirectionHitRate,0.48638132295719844
naive_momentum,classification,20,5,strategy_cum_return,-0.7345581122787327
naive_momentum,classification,20,5,buy_hold_cum_return,-0.8828086312959702
naive_momentum,classification,20,5,max_drawdown,-0.7891407788100324
naive_momentum,classification,20,5,trade_count,64.0
naive_momentum,classification,20,5,total_transaction_cost,0.064
base,classification,20,5,Accuracy,0.5914396887159533
base,classification,20,5,Precision,0.46153846153846156
base,classification,20,5,Recall,0.36363636363636365
base,classification,20,5,F1-score,0.4067796610169492
base,classification,20,5,DirectionHitRate,0.5914396887159533
base,classification,20,5,strategy_cum_return,0.40367657802313506
base,classification,20,5,buy_hold_cum_return,-0.8828086312959702
base,classification,20,5,max_drawdown,-0.45728082327020314
base,classification,20,5,trade_count,8.0
base,classification,20,5,total_transaction_cost,0.008
base,classification,20,5,hidden_size,32.0
base,classification,20,5,num_layers,2.0
base,classification,20,5,dropout,0.1
base,classification,20,5,learning_rate,0.002
base,classification,20,5,threshold,0.55
base,classification,20,5,sell_threshold,0.3
base,classification,20,5,valid_risk_adjusted_return_at_threshold,0.21487603305785125
base,classification,20,5,valid_trade_count,2.0
base,classification,20,5,threshold_mode,dual
base,classification,20,5,min_hold_proba,0.55
base,classification,20,5,min_valid_trades,5.0
base,classification,20,5,drawdown_penalty,0.5
base,classification,20,5,trade_penalty,0.002
base,classification,20,5,market_filter_min,0.0
base,classification,20,5,best_epoch,4.0
base,classification,20,5,best_valid_loss,0.6764503121376038
base,classification,20,5,epochs_trained,14.0
fusion,classification,20,5,Accuracy,0.6147859922178989
fusion,classification,20,5,Precision,0.0
fusion,classification,20,5,Recall,0.0
fusion,classification,20,5,F1-score,0.0
fusion,classification,20,5,DirectionHitRate,0.6147859922178989
fusion,classification,20,5,strategy_cum_return,0.0
fusion,classification,20,5,buy_hold_cum_return,-0.8828086312959702
fusion,classification,20,5,max_drawdown,0.0
fusion,classification,20,5,trade_count,0.0
fusion,classification,20,5,total_transaction_cost,0.0
fusion,classification,20,5,hidden_size,32.0
fusion,classification,20,5,num_layers,2.0
fusion,classification,20,5,dropout,0.1
fusion,classification,20,5,learning_rate,0.002
fusion,classification,20,5,threshold,0.61
fusion,classification,20,5,sell_threshold,0.6
fusion,classification,20,5,valid_risk_adjusted_return_at_threshold,-0.5951479716282095
fusion,classification,20,5,valid_trade_count,6.0
fusion,classification,20,5,threshold_mode,dual
fusion,classification,20,5,min_hold_proba,0.55
fusion,classification,20,5,min_valid_trades,5.0
fusion,classification,20,5,drawdown_penalty,0.5
fusion,classification,20,5,trade_penalty,0.002
fusion,classification,20,5,market_filter_min,0.0
fusion,classification,20,5,best_epoch,5.0
fusion,classification,20,5,best_valid_loss,0.6845590472221375
fusion,classification,20,5,epochs_trained,15.0
