model,task,window,horizon,metric,value,fold
naive_momentum,classification,20,5,Accuracy,0.5206611570247934,test_2024
naive_momentum,classification,20,5,Precision,0.3829787234042553,test_2024
naive_momentum,classification,20,5,Recall,0.3829787234042553,test_2024
naive_momentum,classification,20,5,F1-score,0.3829787234042553,test_2024
naive_momentum,classification,20,5,DirectionHitRate,0.5206611570247934,test_2024
naive_momentum,classification,20,5,strategy_cum_return,-0.21465367396317592,test_2024
naive_momentum,classification,20,5,buy_hold_cum_return,-0.847170399781926,test_2024
naive_momentum,classification,20,5,max_drawdown,-0.6892159943829268,test_2024
naive_momentum,classification,20,5,trade_count,50.0,test_2024
naive_momentum,classification,20,5,total_transaction_cost,0.05,test_2024
naive_momentum,classification,20,5,threshold,0.0,test_2024
base,classification,20,5,Accuracy,0.5537190082644629,test_2024
base,classification,20,5,Precision,0.41025641025641024,test_2024
base,classification,20,5,Recall,0.3404255319148936,test_2024
base,classification,20,5,F1-score,0.37209302325581395,test_2024
base,classification,20,5,DirectionHitRate,0.5537190082644629,test_2024
base,classification,20,5,strategy_cum_return,-0.46028195155121254,test_2024
base,classification,20,5,buy_hold_cum_return,-0.847170399781926,test_2024
base,classification,20,5,max_drawdown,-0.6867759786162863,test_2024
base,classification,20,5,trade_count,16.0,test_2024
base,classification,20,5,total_transaction_cost,0.016,test_2024
base,classification,20,5,threshold,0.55,test_2024
base,classification,20,5,sell_threshold,0.3,test_2024
base,classification,20,5,valid_risk_adjusted_return_at_threshold,0.11739206520802926,test_2024
base,classification,20,5,valid_trade_count,6.0,test_2024
base,classification,20,5,threshold_objective,risk_adjusted_return,test_2024
base,classification,20,5,threshold_mode,dual,test_2024
base,classification,20,5,min_hold_proba,0.55,test_2024
base,classification,20,5,min_valid_trades,5.0,test_2024
base,classification,20,5,drawdown_penalty,0.5,test_2024
base,classification,20,5,trade_penalty,0.002,test_2024
base,classification,20,5,market_filter_min,0.0,test_2024
base,classification,20,5,num_layers,2.0,test_2024
base,classification,20,5,hidden_size,64.0,test_2024
base,classification,20,5,best_epoch,11.0,test_2024
base,classification,20,5,best_valid_loss,0.6688829660415649,test_2024
base,classification,20,5,epochs_trained,21.0,test_2024
fusion,classification,20,5,Accuracy,0.5578512396694215,test_2024
fusion,classification,20,5,Precision,0.410958904109589,test_2024
fusion,classification,20,5,Recall,0.3191489361702128,test_2024
fusion,classification,20,5,F1-score,0.3592814371257485,test_2024
fusion,classification,20,5,DirectionHitRate,0.5578512396694215,test_2024
fusion,classification,20,5,strategy_cum_return,-0.4491528081445709,test_2024
fusion,classification,20,5,buy_hold_cum_return,-0.847170399781926,test_2024
fusion,classification,20,5,max_drawdown,-0.6867759786162863,test_2024
fusion,classification,20,5,trade_count,12.0,test_2024
fusion,classification,20,5,total_transaction_cost,0.012,test_2024
fusion,classification,20,5,threshold,0.55,test_2024
fusion,classification,20,5,sell_threshold,0.3,test_2024
fusion,classification,20,5,valid_risk_adjusted_return_at_threshold,0.23404255319148937,test_2024
fusion,classification,20,5,valid_trade_count,2.0,test_2024
fusion,classification,20,5,threshold_objective,risk_adjusted_return,test_2024
fusion,classification,20,5,threshold_mode,dual,test_2024
fusion,classification,20,5,min_hold_proba,0.55,test_2024
fusion,classification,20,5,min_valid_trades,5.0,test_2024
fusion,classification,20,5,drawdown_penalty,0.5,test_2024
fusion,classification,20,5,trade_penalty,0.002,test_2024
fusion,classification,20,5,market_filter_min,0.0,test_2024
fusion,classification,20,5,num_layers,2.0,test_2024
fusion,classification,20,5,hidden_size,64.0,test_2024
fusion,classification,20,5,best_epoch,11.0,test_2024
fusion,classification,20,5,best_valid_loss,0.6710489988327026,test_2024
fusion,classification,20,5,epochs_trained,21.0,test_2024
naive_momentum,classification,20,5,Accuracy,0.5185185185185185,test_2025
naive_momentum,classification,20,5,Precision,0.46153846153846156,test_2025
naive_momentum,classification,20,5,Recall,0.44036697247706424,test_2025
naive_momentum,classification,20,5,F1-score,0.4507042253521127,test_2025
naive_momentum,classification,20,5,DirectionHitRate,0.5185185185185185,test_2025
naive_momentum,classification,20,5,strategy_cum_return,0.14526148483169554,test_2025
naive_momentum,classification,20,5,buy_hold_cum_return,0.17280695352318154,test_2025
naive_momentum,classification,20,5,max_drawdown,-0.43779209777937445,test_2025
naive_momentum,classification,20,5,trade_count,52.0,test_2025
naive_momentum,classification,20,5,total_transaction_cost,0.052000000000000005,test_2025
naive_momentum,classification,20,5,threshold,0.0,test_2025
base,classification,20,5,Accuracy,0.5843621399176955,test_2025
base,classification,20,5,Precision,0.5333333333333333,test_2025
base,classification,20,5,Recall,0.5871559633027523,test_2025
base,classification,20,5,F1-score,0.5589519650655022,test_2025
base,classification,20,5,DirectionHitRate,0.5843621399176955,test_2025
base,classification,20,5,strategy_cum_return,2.922556178819588,test_2025
base,classification,20,5,buy_hold_cum_return,0.17280695352318154,test_2025
