feature,importance,feature_set,model
volume_ma20,972.0,base,lightgbm
volatility_20d,926.0,base,lightgbm
ma60,908.0,base,lightgbm
boll_width,894.0,base,lightgbm
macd_hist,839.0,base,lightgbm
macd_signal,816.0,base,lightgbm
volume_ma5,775.0,base,lightgbm
return_20d,741.0,base,lightgbm
volatility_5d,710.0,base,lightgbm
rsi14,663.0,base,lightgbm
macd,632.0,base,lightgbm
return_5d,623.0,base,lightgbm
turnover,529.0,base,lightgbm
amount,495.0,base,lightgbm
boll_lower,491.0,base,lightgbm
ma10,425.0,base,lightgbm
amplitude,422.0,base,lightgbm
boll_upper,365.0,base,lightgbm
volume,364.0,base,lightgbm
ma20,301.0,base,lightgbm
close,261.0,base,lightgbm
ma5,248.0,base,lightgbm
high,247.0,base,lightgbm
change,243.0,base,lightgbm
pct_change,216.0,base,lightgbm
low,198.0,base,lightgbm
open,165.0,base,lightgbm
daily_return,165.0,base,lightgbm
sector_疫苗,74.0,base,lightgbm
boll_mid,58.0,base,lightgbm
symbol_300760,42.0,base,lightgbm
symbol_603259,42.0,base,lightgbm
symbol_000538,30.0,base,lightgbm
symbol_688185,27.0,base,lightgbm
symbol_000661,21.0,base,lightgbm
symbol_300122,20.0,base,lightgbm
symbol_300142,18.0,base,lightgbm
symbol_600276,15.0,base,lightgbm
sector_CXO,9.0,base,lightgbm
sector_中药,3.0,base,lightgbm
sector_医疗器械,3.0,base,lightgbm
sector_生物制品,3.0,base,lightgbm
sector_创新药,1.0,base,lightgbm
macd_hist,567.0,market,lightgbm
volatility_20d,538.0,market,lightgbm
volume_ma20,454.0,market,lightgbm
boll_width,446.0,market,lightgbm
macd,437.0,market,lightgbm
macd_signal,424.0,market,lightgbm
chinext_return_20d,423.0,market,lightgbm
csi_pharma_return_20d,413.0,market,lightgbm
volatility_5d,401.0,market,lightgbm
rsi14,379.0,market,lightgbm
hs300_return_20d,375.0,market,lightgbm
csi_pharma_return_5d,372.0,market,lightgbm
volume_ma5,350.0,market,lightgbm
return_20d,339.0,market,lightgbm
return_5d,332.0,market,lightgbm
ma60,325.0,market,lightgbm
chinext_return_5d,305.0,market,lightgbm
turnover,298.0,market,lightgbm
chinext_amount,297.0,market,lightgbm
hs300_volume,295.0,market,lightgbm
csi_pharma_volume,279.0,market,lightgbm
chinext_volume,273.0,market,lightgbm
hs300_return_5d,273.0,market,lightgbm
csi_pharma_close,265.0,market,lightgbm
hs300_amount,253.0,market,lightgbm
boll_lower,252.0,market,lightgbm
csi_pharma_amount,251.0,market,lightgbm
amount,250.0,market,lightgbm
chinext_amplitude,226.0,market,lightgbm
csi_pharma_low,222.0,market,lightgbm
volume,205.0,market,lightgbm
hs300_close,201.0,market,lightgbm
amplitude,199.0,market,lightgbm
ma10,188.0,market,lightgbm
csi_pharma_open,187.0,market,lightgbm
hs300_high,182.0,market,lightgbm
hs300_open,170.0,market,lightgbm
boll_upper,166.0,market,lightgbm
hs300_amplitude,165.0,market,lightgbm
chinext_close,164.0,market,lightgbm
chinext_open,157.0,market,lightgbm
csi_pharma_high,154.0,market,lightgbm
chinext_low,152.0,market,lightgbm
ma5,143.0,market,lightgbm
change,142.0,market,lightgbm
ma20,136.0,market,lightgbm
