feature,mean_abs_shap,category
peg,0.5276862395184048,估值
boll_width,0.3094759758620681,行情/技术
ma5,0.2247718880690897,行情/技术
volatility_5d,0.2212560293486976,行情/技术
pe_static,0.1892386073032106,估值
hs300_return_20d,0.1866525990291415,市场环境
return_5d,0.1753266248586471,行情/技术
chinext_return_20d,0.1589098450106897,市场环境
volatility_20d,0.1235512188509516,行情/技术
boll_lower,0.1206452468854483,行情/技术
float_market_cap,0.1113508590769887,估值
chinext_volume,0.0935749655043881,市场环境
ma60,0.0905910683054315,行情/技术
chinext_amplitude,0.0897375359680356,市场环境
volume_ma5,0.0802197813905237,行情/技术
hs300_close,0.0782359641355185,市场环境
volume_ma20,0.0726260398393032,行情/技术
net_profit,0.0707114169684866,财务
